run_id,sample_id,tracking_no,true_label,true_sub_status,has_return_evidence,trace_char_len,claude-opus-4.5_evidence_based_pred,claude-opus-4.5_evidence_based_conf,claude-opus-4.5_evidence_based_correct,claude-opus-4.5_rule_based_pred,claude-opus-4.5_rule_based_conf,claude-opus-4.5_rule_based_correct,claude-opus-4.5_time_based_pred,claude-opus-4.5_time_based_conf,claude-opus-4.5_time_based_correct,gemini-3_evidence_based_pred,gemini-3_evidence_based_conf,gemini-3_evidence_based_correct,gemini-3_rule_based_pred,gemini-3_rule_based_conf,gemini-3_rule_based_correct,gemini-3_time_based_pred,gemini-3_time_based_conf,gemini-3_time_based_correct,gpt-5.2_evidence_based_pred,gpt-5.2_evidence_based_conf,gpt-5.2_evidence_based_correct,gpt-5.2_rule_based_pred,gpt-5.2_rule_based_conf,gpt-5.2_rule_based_correct,gpt-5.2_time_based_pred,gpt-5.2_time_based_conf,gpt-5.2_time_based_correct,grok-4_evidence_based_pred,grok-4_evidence_based_conf,grok-4_evidence_based_correct,grok-4_rule_based_pred,grok-4_rule_based_conf,grok-4_rule_based_correct,grok-4_time_based_pred,grok-4_time_based_conf,grok-4_time_based_correct,n_unique_preds,max_vote,max_vote_share,vote_entropy,top1_label,top1_votes,top2_label,top2_votes,conf_mean,conf_min,abstain_count,need_review,majority_pred,majority_correct
ensemble_50_v1,BRTMA5121603314YQ,BRTMA5121603314YQ,IN_TRANSIT,IN_TRANSIT_02,False,170,DELIVERED,0.92,False,DELIVERED,0.9,False,DELIVERED,0.9,False,IN_TRANSIT,0.85,True,IN_TRANSIT,0.85,True,IN_TRANSIT,0.85,True,IN_TRANSIT,0.62,True,DELIVERED,0.62,False,IN_TRANSIT,0.62,True,DELIVERED,0.95,False,DELIVERED,0.8,False,DELIVERED,0.85,False,2,7,0.583,0.98,DELIVERED,7,IN_TRANSIT,5,0.811,0.62,0,True,DELIVERED,False
ensemble_50_v1,YT2535100703117471,YT2535100703117471,IN_TRANSIT,IN_TRANSIT_08,False,436,IN_TRANSIT,0.95,True,IN_TRANSIT,0.95,True,IN_TRANSIT,0.98,True,IN_TRANSIT,0.95,True,IN_TRANSIT,0.99,True,IN_TRANSIT,1.0,True,IN_TRANSIT,0.93,True,IN_TRANSIT,0.93,True,IN_TRANSIT,0.95,True,IN_TRANSIT,1.0,True,IN_TRANSIT,1.0,True,IN_TRANSIT,1.0,True,1,12,1.0,0.0,IN_TRANSIT,12,,0,0.969,0.93,0,False,IN_TRANSIT,True
ensemble_50_v1,ZHO864OS,ZHO864OS,ABNORMAL,ABNORMAL_06,False,1085,ABNORMAL,0.95,True,ABNORMAL,0.95,True,ABNORMAL,0.95,True,ABNORMAL,1.0,True,ABNORMAL,0.99,True,ABNORMAL,1.0,True,ABNORMAL,0.92,True,ABNORMAL,0.96,True,ABNORMAL,0.88,True,ABNORMAL,1.0,True,ABNORMAL,1.0,True,ABNORMAL,1.0,True,1,12,1.0,0.0,ABNORMAL,12,,0,0.967,0.88,0,False,ABNORMAL,True
ensemble_50_v1,WS14538095414636300DL,WS14538095414636300DL,INFO_RECEIVED,INFO_RECEIVED_01,False,63,INFO_RECEIVED,0.98,True,INFO_RECEIVED,0.95,True,INFO_RECEIVED,0.98,True,INFO_RECEIVED,1.0,True,INFO_RECEIVED,1.0,True,INFO_RECEIVED,1.0,True,INFO_RECEIVED,0.93,True,INFO_RECEIVED,0.98,True,INFO_RECEIVED,0.93,True,INFO_RECEIVED,1.0,True,INFO_RECEIVED,1.0,True,INFO_RECEIVED,1.0,True,1,12,1.0,0.0,INFO_RECEIVED,12,,0,0.979,0.93,0,False,INFO_RECEIVED,True
ensemble_50_v1,YT2532800709476697,YT2532800709476697,INFO_RECEIVED,INFO_RECEIVED_01,False,63,INFO_RECEIVED,0.98,True,INFO_RECEIVED,0.95,True,INFO_RECEIVED,0.98,True,INFO_RECEIVED,1.0,True,INFO_RECEIVED,1.0,True,INFO_RECEIVED,1.0,True,INFO_RECEIVED,0.93,True,INFO_RECEIVED,0.98,True,INFO_RECEIVED,0.93,True,INFO_RECEIVED,1.0,True,INFO_RECEIVED,1.0,True,INFO_RECEIVED,1.0,True,1,12,1.0,0.0,INFO_RECEIVED,12,,0,0.979,0.93,0,False,INFO_RECEIVED,True
ensemble_50_v1,BRTMA5121603310YQ,BRTMA5121603310YQ,IN_TRANSIT,IN_TRANSIT_02,False,170,DELIVERED,0.92,False,DELIVERED,0.92,False,DELIVERED,0.9,False,DELIVERED,0.9,False,IN_TRANSIT,0.85,True,IN_TRANSIT,0.85,True,IN_TRANSIT,0.58,True,IN_TRANSIT,0.62,True,IN_TRANSIT,0.62,True,IN_TRANSIT,0.85,True,DELIVERED,0.9,False,DELIVERED,0.8,False,2,6,0.5,1.0,DELIVERED,6,IN_TRANSIT,6,0.809,0.58,0,True,DELIVERED,False
ensemble_50_v1,4PX3002362137735CN,4PX3002362137735CN,IN_TRANSIT,IN_TRANSIT_04,False,745,IN_TRANSIT,0.9,True,IN_TRANSIT,0.85,True,IN_TRANSIT,0.9,True,UNKNOWN,0.0,False,IN_TRANSIT,0.95,True,IN_TRANSIT,0.95,True,IN_TRANSIT,0.7,True,IN_TRANSIT,0.77,True,IN_TRANSIT,0.86,True,IN_TRANSIT,0.9,True,IN_TRANSIT,1.0,True,IN_TRANSIT,0.95,True,1,11,1.0,0.0,IN_TRANSIT,11,,0,0.885,0.7,1,True,IN_TRANSIT,True
ensemble_50_v1,886614185252,886614185252,DELIVERED,DELIVERED_04,False,799,DELIVERED,0.98,True,DELIVERED,0.98,True,DELIVERED,0.98,True,DELIVERED,1.0,True,DELIVERED,1.0,True,DELIVERED,1.0,True,DELIVERED,0.97,True,DELIVERED,0.96,True,DELIVERED,0.98,True,DELIVERED,1.0,True,DELIVERED,1.0,True,DELIVERED,1.0,True,1,12,1.0,0.0,DELIVERED,12,,0,0.987,0.96,0,False,DELIVERED,True
ensemble_50_v1,YT2532800701718088,YT2532800701718088,ABNORMAL,ABNORMAL_04,False,144,ABNORMAL,0.95,True,ABNORMAL,0.95,True,ABNORMAL,0.95,True,ABNORMAL,1.0,True,ABNORMAL,1.0,True,ABNORMAL,1.0,True,ABNORMAL,0.92,True,ABNORMAL,0.92,True,ABNORMAL,0.93,True,ABNORMAL,1.0,True,ABNORMAL,1.0,True,ABNORMAL,1.0,True,1,12,1.0,0.0,ABNORMAL,12,,0,0.968,0.92,0,False,ABNORMAL,True
ensemble_50_v1,UAEGK4D3B,UAEGK4D3B,DELIVERED,DELIVERED_01,False,318,DELIVERED,0.95,True,DELIVERED,0.95,True,DELIVERED,0.95,True,DELIVERED,1.0,True,DELIVERED,0.95,True,DELIVERED,0.95,True,DELIVERED,0.9,True,DELIVERED,0.86,True,DELIVERED,0.86,True,DELIVERED,1.0,True,DELIVERED,1.0,True,DELIVERED,1.0,True,1,12,1.0,0.0,DELIVERED,12,,0,0.947,0.86,0,False,DELIVERED,True
